,DirichletModel_MultimodalClassifier_dc
850,3.6568928
851,3.6568928
852,3.6568928
853,3.6568928
854,3.6568928
855,3.6568928
856,3.6568928
857,3.6568928
858,3.6568928
859,3.6568928
860,3.6568928
861,3.6568928
862,3.6568928
863,3.6568928
864,3.6568928
865,3.6568928
866,3.6568928
867,3.6568928
868,3.6568928
869,3.6568928
870,3.6568928
871,3.6568928
872,3.6568928
873,3.6568928
874,3.6568928
875,3.6568928
876,3.6568928
877,3.6568928
878,3.6568928
879,3.6568928
880,3.6568928
881,3.6568928
882,3.6568928
883,3.6568928
884,3.6568928
885,3.6568928
886,3.6568928
887,3.6568928
888,3.6568928
889,3.6568928
890,3.6568928
891,3.6568928
892,3.6568928
893,3.6568928
894,3.6568928
895,3.6568928
896,3.6568928
897,3.6568928
898,3.6568928
899,3.6568928
900,3.6568928
901,3.6568928
902,3.6568928
903,3.6568928
904,3.6568928
905,3.6568928
906,3.6568928
907,3.6568928
908,3.6568928
909,3.6568928
910,3.6568928
911,3.6568928
912,3.6568928
913,3.6568928
914,3.6568928
915,3.6568928
916,3.6568928
917,3.6568928
918,3.6568928
919,3.6568928
920,3.6568928
921,3.6568928
922,3.6568928
923,3.6568928
924,3.6568928
925,3.6568928
926,3.6568928
927,3.6568928
928,3.6568928
929,3.6568928
930,3.6568928
931,3.6568928
932,3.6568928
933,3.6568928
934,3.6568928
935,3.6568928
936,3.6568928
937,3.6568928
938,3.6568928
939,3.6568928
940,3.6568928
941,3.6568928
942,3.6568928
943,3.6568928
944,3.6568928
945,3.6568928
946,3.6568928
947,3.6568928
948,3.6568928
949,3.6568928
950,3.6568928
951,3.6568928
952,3.6568928
953,3.6568928
954,3.6568928
955,3.6568928
956,3.6568928
957,3.6568928
958,3.6568928
959,3.6568928
960,3.6568928
961,3.6568928
962,3.6568928
963,3.6568928
964,3.6568928
965,3.6568928
966,3.6568928
967,3.6568928
968,3.6568928
969,3.6568928
970,3.6568928
971,3.6568928
972,3.6568928
973,3.6568928
974,3.6568928
975,3.6568928
976,3.6568928
977,3.6568928
978,3.6568928
979,3.6568928
980,3.6568928
981,3.6568928
982,3.6568928
983,3.6568928
984,3.6568928
985,3.6568928
986,3.6568928
987,3.6568928
988,3.6568928
989,3.6568928
990,3.6568928
991,3.6568928
992,3.6568928
993,3.6568928
994,3.6568928
995,3.6568928
996,3.6568928
997,3.6568928
998,3.6568928
999,3.6568928
1000,3.6568928
1001,3.6568928
1002,3.6568928
1003,3.6568928
1004,3.6568928
1005,3.6568928
1006,3.6568928
1007,3.6568928
1008,3.6568928
1009,3.6568928
1010,3.6568928
